a	b	nSites	R0	R1	KING
15	21	78	1775951.536517	0.000000	-1.771524
15	22	285	4698182.305046	0.000000	-1.627658
15	23	119	1723.408353	0.000155	-0.729525
15	24	4792	0.056112	0.819122	0.280524
15	25	257	1219634.776472	0.000000	-1.932736
15	26	3970	1.995765	0.141940	-0.424362
15	27	3770	2.077164	0.121656	-0.387379
15	28	290	264275.904067	0.000001	-1.239741
15	29	4267	2.492279	0.104780	-0.440210
15	30	136	10573609.064234	0.000000	-2.049783
15	31	3992	2.427211	0.106539	-0.430226
15	32	184	25999493.270135	0.000000	-2.361908
15	33	113	26685.767381	0.000016	-1.532188
15	34	27	149234.600710	0.000001	-0.423465
15	35	194	955292754.977400	0.000000	-4.178303
15	36	181	7084321841.154203	0.000000	-3.802380
15	37	358	17142860.975586	0.000000	-2.552217
15	38	204	13366309.254889	0.000000	-2.345570
15	39	3759	2.299819	0.132177	-0.495424
15	40	1038	0.144187	0.235288	0.116547
15	41	3793	2.142680	0.118658	-0.396546
15	42	144	111672.798030	0.000002	-0.680212
15	43	3787	2.266031	0.124110	-0.453331
15	44	3864	2.453732	0.102655	-0.420719
15	45	3921	2.389454	0.118068	-0.467674
15	46	4125	0.812241	0.214873	-0.106901
15	47	1524	1.578643	0.149664	-0.303715
15	48	3830	2.269503	0.115509	-0.421921
15	49	3766	2.271914	0.120002	-0.439610
15	50	3676	1.790531	0.138941	-0.348473
15	51	3974	1.758949	0.143571	-0.349405
15	52	3757	1.999553	0.140703	-0.421957
15	53	3882	1.717169	0.139332	-0.326320
15	54	4364	0.499183	0.238770	0.000287
15	55	3575	2.194465	0.126481	-0.439445
16	17	5	0.000000	1.672520	0.384926
16	18	394	88.135901	0.007419	-3.602951
16	19	70	591449.135019	0.000001	-3.210312
16	20	404	21.846192	0.022460	-1.730085
16	21	100	155604610335417602372135756590978860233637814881118096510364493251013941295593044312064000.000000	0.000000	-28.099293
16	22	421	1.175919	0.094761	-0.118823
16	23	222	4.364017	0.161563	-2.020136
16	24	452	35.807140	0.016636	-2.684482
16	25	551	0.114497	0.349038	0.162299
16	26	309	32034779.038866	0.000000	-2.383635
16	27	341	19.025275	0.027382	-1.900491
16	28	340	2.380745	0.195289	-0.793583
16	29	584	7.152890	0.092173	-2.335888
16	30	44	6121824013811383082680320.000000	0.000000	-0.957391
16	31	479	15.237620	0.040678	-2.597865
16	32	404	0.000006	1.627610	0.382494
16	33	89	2.871911	0.221458	-1.301956
16	34	-1	-1	-1	-1
16	35	382	2.751999	0.062014	-0.292971
16	36	433	0.978506	0.056000	-0.050693
16	37	436	3.560678	0.090450	-0.644682
16	38	393	0.200071	0.091602	0.047171
16	39	247	110955.778032	0.000007	-6.204787
16	40	108	10.325243	0.037013	-1.051274
16	41	245	52284.768291	0.000010	-2.180592
16	42	224	0.313840	0.802644	0.126983
16	43	223	3087.344065	0.000208	-3.602371
16	44	274	28.226485	0.020649	-2.497611
16	45	277	29.697843	0.018348	-2.178525
16	46	246	4.901827	0.134839	-1.950113
16	47	326	0.494127	0.870341	0.004425
16	48	179	957017.640457	0.000000	-0.959725
16	49	191	1493187.006094	0.000000	-1.269074
16	50	181	34.494626	0.016674	-2.474195
